2022-02-23 21:12:11,095 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 52398)
2022-02-23 21:12:11,095 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:11,095 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1645632731.0955167, 'user': {'account_name': 'test2'}}
2022-02-23 21:12:11,365 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>, {'response': 200}), {}. Вызов из модуля common.utils
2022-02-23 21:12:11,365 INFO     server.py Установлено соедение с ПК ('127.0.0.1', 52399)
2022-02-23 21:12:11,365 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:11,365 DEBUG    server.py Разбор сообщения от клиента : {'action': 'presence', 'time': 1645632731.0955167, 'user': {'account_name': 'test1'}}
2022-02-23 21:12:11,627 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>, {'response': 200}), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,127 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,127 DEBUG    server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1645632731.8965862, 'account_name': 'test2'}
2022-02-23 21:12:12,127 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>, {'response': 202, 'data_list': ['mes1', 'mes3', 'mes2', 'test2', 'test1']}), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,127 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,127 DEBUG    server.py Разбор сообщения от клиента : {'action': 'get_users', 'time': 1645632732.065502, 'account_name': 'test1'}
2022-02-23 21:12:12,127 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>, {'response': 202, 'data_list': ['mes1', 'mes3', 'mes2', 'test2', 'test1']}), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,629 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,629 DEBUG    server.py Разбор сообщения от клиента : {'action': 'get_contacts', 'time': 1645632732.2440147, 'user': 'test2'}
2022-02-23 21:12:12,641 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=572, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52398)>, {'response': 202, 'data_list': []}), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,641 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция get_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>,), {}. Вызов из модуля common.utils
2022-02-23 21:12:12,641 DEBUG    server.py Разбор сообщения от клиента : {'action': 'get_contacts', 'time': 1645632732.2440147, 'user': 'test1'}
2022-02-23 21:12:12,641 DEBUG    decors.py 2022-02-23 21:09:47. Была вызвана функция send_message c параметрами (<socket.socket fd=1308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52399)>, {'response': 202, 'data_list': []}), {}. Вызов из модуля common.utils
